iter	Passed	Remaining
0	135	134985
1	136	68156
2	138	46031
3	140	35033
4	142	28318
5	145	24034
6	147	20866
7	148	18459
8	150	16609
9	152	15112
10	153	13819
11	155	12821
12	157	11957
13	158	11181
14	160	10519
15	161	9923
16	162	9377
17	163	8905
18	164	8482
19	165	8100
20	166	7758
21	167	7450
22	168	7171
23	170	6930
24	171	6694
25	172	6468
26	173	6254
27	174	6055
28	175	5869
29	176	5696
30	177	5539
31	178	5390
32	179	5247
33	179	5109
34	180	4977
35	181	4854
36	182	4742
37	183	4636
38	184	4540
39	185	4446
40	186	4355
41	186	4262
42	187	4173
43	188	4090
44	189	4011
45	189	3934
46	190	3860
47	191	3790
48	191	3723
49	192	3660
50	193	3597
51	194	3538
52	194	3480
53	195	3426
54	196	3376
55	197	3326
56	198	3280
57	199	3237
58	200	3191
59	201	3150
60	201	3107
61	202	3064
62	203	3024
63	204	2983
64	204	2945
65	205	2906
66	206	2869
67	206	2832
68	207	2797
69	207	2762
70	208	2729
71	209	2698
72	210	2669
73	210	2640
74	211	2610
75	212	2583
76	213	2560
77	214	2535
78	215	2509
79	215	2483
80	216	2456
81	217	2431
82	217	2403
83	218	2379
84	218	2356
85	219	2332
86	220	2309
87	220	2288
88	221	2268
89	222	2248
90	223	2230
91	223	2210
92	224	2190
93	225	2171
94	225	2152
95	226	2133
96	227	2115
97	228	2098
98	229	2084
99	229	2068
100	230	2053
101	231	2037
102	232	2022
103	233	2008
104	234	1994
105	234	1980
106	235	1966
107	236	1951
108	237	1937
109	237	1923
110	238	1909
111	239	1897
112	240	1884
113	240	1872
114	241	1859
115	242	1846
116	243	1834
117	244	1825
118	244	1813
119	245	1802
120	246	1791
121	247	1778
122	247	1767
123	248	1755
124	249	1744
125	250	1734
126	250	1722
127	251	1711
128	251	1700
129	252	1690
130	253	1679
131	254	1670
132	254	1661
133	255	1651
134	256	1642
135	257	1633
136	257	1623
137	258	1616
138	259	1608
139	260	1599
140	261	1591
141	261	1582
142	262	1573
143	263	1564
144	264	1556
145	264	1548
146	265	1540
147	266	1532
148	266	1524
149	267	1516
150	268	1509
151	269	1501
152	269	1493
153	270	1486
154	271	1479
155	272	1472
156	272	1465
157	273	1459
158	274	1453
159	275	1447
160	276	1439
161	277	1433
162	277	1426
163	278	1419
164	279	1412
165	279	1405
166	280	1398
167	281	1393
168	282	1387
169	282	1381
170	283	1375
171	284	1369
172	285	1363
173	286	1358
174	286	1351
175	287	1345
176	288	1339
177	289	1334
178	289	1329
179	290	1325
180	291	1320
181	292	1314
182	293	1309
183	294	1303
184	294	1298
185	295	1293
186	296	1288
187	297	1283
188	297	1278
189	298	1273
190	299	1269
191	300	1263
192	301	1259
193	301	1254
194	302	1249
195	303	1245
196	304	1242
197	305	1238
198	306	1233
199	307	1229
200	308	1224
201	308	1219
202	309	1214
203	309	1209
204	310	1204
205	311	1199
206	311	1194
207	312	1189
208	313	1185
209	313	1181
210	314	1176
211	315	1172
212	316	1167
213	316	1163
214	317	1158
215	317	1154
216	318	1149
217	319	1146
218	320	1143
219	321	1139
220	322	1135
221	323	1132
222	323	1128
223	324	1124
224	325	1120
225	325	1116
226	326	1112
227	327	1108
228	327	1104
229	328	1100
230	329	1096
231	330	1093
232	330	1089
233	331	1085
234	332	1081
235	332	1077
236	333	1073
237	334	1070
238	335	1068
239	336	1065
240	337	1061
241	337	1058
242	338	1054
243	339	1050
244	340	1047
245	340	1044
246	341	1041
247	342	1038
248	343	1034
249	343	1031
250	344	1028
251	345	1024
252	346	1021
253	346	1018
254	347	1015
255	348	1012
256	349	1009
257	349	1006
258	350	1003
259	351	1001
260	352	998
261	353	995
262	354	992
263	354	989
264	355	986
265	356	983
266	356	980
267	357	977
268	358	974
269	359	970
270	359	967
271	360	964
272	361	961
273	361	958
274	362	955
275	363	952
276	363	949
277	364	946
278	365	944
279	366	941
280	367	939
281	368	937
282	368	934
283	369	931
284	370	928
285	370	925
286	371	922
287	372	919
288	372	916
289	373	914
290	374	911
291	374	908
292	375	906
293	376	903
294	377	901
295	377	898
296	378	895
297	379	893
298	380	891
299	381	889
300	381	886
301	382	884
302	383	881
303	384	879
304	384	876
305	385	874
306	385	871
307	386	868
308	387	866
309	387	863
310	388	860
311	389	858
312	389	855
313	390	853
314	391	850
315	391	848
316	392	845
317	393	843
318	393	840
319	394	837
320	395	835
321	396	834
322	397	832
323	397	830
324	398	828
325	399	826
326	400	823
327	400	821
328	401	819
329	402	816
330	403	814
331	403	812
332	404	809
333	405	807
334	405	805
335	406	802
336	407	800
337	407	798
338	408	796
339	409	794
340	410	792
341	411	790
342	412	789
343	413	788
344	414	786
345	414	784
